Timestamp;Timestamp_Excel;00000022;00000023;00000024;00000025;00000026;00000027;00000028;00000029;0000002A;0000002B;0000002C;0000002D;0000002E;0000002F;00000030;00000031;00000032;00000033;00000034;00000017;00000018;00000019;00000020;0000001F;0000001D;0000001E;00000035;00000036;00000037;00000038;00000039;0000003A;0000003B;0000003C;0000003D;0000003E;00000053;00000050
1640176008782;2021-12-22T13:26:48;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176008843;2021-12-22T13:26:48;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176008934;2021-12-22T13:26:48;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009031;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009127;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.50;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009242;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;1.00;4.00;57.00;32.50;2.50;32.69;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009329;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009441;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.50;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009529;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009646;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009731;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009826;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176009934;2021-12-22T13:26:49;true;false;false;1250.00;23.50;12.00;57.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1278.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176010026;2021-12-22T13:26:50;true;false;false;1250.00;23.50;12.00;57.00;31.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1279.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176010131;2021-12-22T13:26:50;true;false;false;1250.00;23.50;12.00;57.00;31.50;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1279.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176010226;2021-12-22T13:26:50;true;false;false;1250.00;23.50;12.00;57.00;31.50;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.94;0.94;4.00;57.00;32.50;2.44;32.62;true;1279.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176010339;2021-12-22T13:26:50;true;false;false;1250.00;23.50;11.50;57.00;31.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.70;1.88;0.94;4.00;57.06;32.50;2.44;32.69;true;1279.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640176010427;2021-12-22T13:26:50;true;false;false;1250.00;23.50;12.00;57.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.80;4.70;1.88;0.94;4.00;57.06;32.50;2.44;32.69;true;1279.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
