Timestamp;Timestamp_Excel;00000022;00000023;00000024;00000025;00000026;00000027;00000028;00000029;0000002A;0000002B;0000002C;0000002D;0000002E;0000002F;00000030;00000031;00000032;00000033;00000034;00000017;00000018;00000019;00000020;0000001F;0000001D;0000001E;00000035;00000036;00000037;00000038;00000039;0000003A;0000003B;0000003C;0000003D;0000003E;00000053;00000050
1640171508266;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.00;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508350;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.00;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508434;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.00;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508534;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.50;1.19;-0.06;4.00;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508649;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.00;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508727;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.06;58.62;33.19;3.69;33.12;true;1394.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508837;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.06;58.62;33.19;3.69;33.12;true;1396.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171508926;2021-12-22T12:11:48;true;false;false;1350.00;23.50;12.50;55.00;31.50;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.06;58.62;33.19;3.69;33.12;true;1398.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171509035;2021-12-22T12:11:49;true;false;false;1350.00;23.50;12.50;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.06;58.62;33.19;3.69;33.12;true;1400.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640171509129;2021-12-22T12:11:49;true;false;false;1350.00;23.00;13.00;55.00;32.00;false;false;false;false;false;false;false;1.00;0.00;12.90;4.60;1.19;-0.06;4.06;58.62;33.19;3.69;33.12;true;1401.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
